company_code,department_code,job_code,position_code,position_title,reports_to_position_code,salary_grade_code,location,headcount,start_date,end_date
CMG,EXEC,JOB-CEO,POS-CEO,Chief Executive Officer,,GR10,Head Office,1,2024-01-01,
CMG,DIV-OPS,JOB-COO,POS-COO,Chief Operating Officer,POS-CEO,GR9,Head Office,1,2024-01-01,
CMG,DIV-FIN,JOB-CFO,POS-CFO,Chief Financial Officer,POS-CEO,GR9,Head Office,1,2024-01-01,
CMG,DIV-HR,JOB-HRD,POS-HRD,HR & People Director,POS-CEO,GR9,Head Office,1,2024-01-01,
CMG,DIV-SALES,JOB-SDD,POS-SDD,Sales & Distribution Director,POS-CEO,GR9,Head Office,1,2024-01-01,
CMG,OPS-PLANT,JOB-PM,POS-PM,Plant Manager,POS-COO,GR8,Manufacturing Plant,1,2024-01-01,
CMG,OPS-PROD,JOB-PS,POS-PS,Production Supervisor,POS-PM,GR6,Manufacturing Plant,1,2024-01-01,
CMG,OPS-MAINT,JOB-MM,POS-MM,Maintenance Manager,POS-PM,GR7,Manufacturing Plant,1,2024-01-01,
CMG,OPS-QA,JOB-QAM,POS-QAM,Quality Assurance Manager,POS-PM,GR7,Manufacturing Plant,1,2024-01-01,
CMG,OPS-PROD,JOB-MO,POS-MO,Machine Operator,POS-PS,GR3,Manufacturing Plant,5,2024-01-01,
CMG,SAL-MGMT,JOB-SM,POS-SM,Sales Manager,POS-SDD,GR7,Head Office,1,2024-01-01,
CMG,SAL-SALES,JOB-SSE,POS-SSE,Senior Sales Executive,POS-SM,GR5,Head Office,2,2024-01-01,
CMG,SAL-SALES,JOB-SE,POS-SE,Sales Executive,POS-SSE,GR4,Head Office,3,2024-01-01,
CMG,SAL-LOG,JOB-DLM,POS-DLM,Distribution & Logistics Manager,POS-SDD,GR7,Warehouse,1,2024-01-01,
CMG,SAL-WH,JOB-WS,POS-WS,Warehouse Supervisor,POS-DLM,GR5,Warehouse,1,2024-01-01,
CMG,SAL-WH,JOB-IC,POS-IC,Inventory Clerk,POS-WS,GR3,Warehouse,2,2024-01-01,
CMG,FIN-CTRL,JOB-FM,POS-FM,Finance Manager,POS-CFO,GR7,Head Office,1,2024-01-01,
CMG,FIN-CTRL,JOB-ACC,POS-ACC,Accountant,POS-FM,GR5,Head Office,2,2024-01-01,
CMG,HR-MGMT,JOB-HRM,POS-HRM,HR Manager,POS-HRD,GR7,Head Office,1,2024-01-01,
CMG,HR-OPS,JOB-HRO,POS-HRO,HR Officer,POS-HRM,GR4,Head Office,1,2024-01-01,
